"ATTACHMENTS","إرفاق ملفات"
"Customer / Lead Name","العميل/ اسم العميل المحتمل"
"Clearance Date not mentioned","لم يتم ذكر تاريخ الاستحقاق"
"Taxable Salary Slabs","درجات الراتب الخاضعة للضريبة"
"Production","الإنتاج"
"Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.","رقم تعريف ضريبة السلع والخدمات غير صالح! لا يتطابق الإدخال الذي أدخلته مع تنسيق رقم تعريف ضريبة السلع والخدمات."
"Occupation","الاحتلال"
"For Quantity must be less than quantity {0}","يجب أن تكون الكمية أقل من الكمية {0}"
"Row {0}:Start Date must be before End Date","الصف {0}: يجب أن يكون تاريخ البدء قبل تاريخ الانتهاء"
"Max Benefit Amount (Yearly)","الحد الأقصى لمبلغ المزيا (سنويا)"
"TDS Rate %","نسبة TDS٪"
"Planting Area","مساحة الزراعة"
"Total(Qty)","إجمالي (الكمية)"
"Installed Qty","الكميات المثبتة"
"You added","لقد أضفت"
"Product Bundle Balance","رصيد حزمة المنتج"
"Parenttype","نوع الأصل"
"Central Tax","الضريبة المركزية"
"Training Result","نتيجة التدريب"
"Is Paid","مدفوع"
"Total Earning","إجمالي الدخل"
"Time at which materials were received","الوقت الذي وردت المواد"
"Products per Page","المنتجات لكل صفحة"
"Outgoing Rate","أسعار الصادر"
"or","أو"
"Billing Date","تاريخ الفواتير"
"Allocated amount cannot be negative","لا يمكن أن يكون المبلغ المخصص سالبًا"
"Billing Status","الحالة الفواتير"
"Report an Issue","أبلغ عن مشكلة"
"If you {0} {1} quantities of the item {2}, the scheme {3}
			will be applied on the item.","إذا قمت {0} {1} بكميات الصنف {2} ، فسيتم تطبيق المخطط {3} على الصنف."
"Utility Expenses","نفقات المرافق"
"90-Above","90 و أكثر"
"Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher","الصف # {0}: قيد دفتر اليومية {1} لا يملك حساب {2} أو قد تطابق بالفعل مع ايصال أخرى"
"Criteria Weight","معايير الوزن"
"Account: {0} is not permitted under Payment Entry","الحساب: {0} غير مسموح به بموجب السند"
"Ignore Existing Projected Quantity","تجاهل الكمية الموجودة المتوقعة"
"Leave Approval Notification","اترك إشعار الموافقة"
"Default Buying Price List","قائمة اسعار الشراء الافتراضية"
"Salary Slip Based on Timesheet","إيصال الرواتب بناء على سجل التوقيت"
"Buying Rate","سعر الشراء"
"Row {0}: Enter location for the asset item {1}","الصف {0}: أدخل الموقع لصنف مادة العرض {1}"
"Attendance Marked","الحضور ملحوظ"
"About the Company","عن الشركة"
"Set Default Values like Company, Currency, Current Fiscal Year, etc.","تعيين القيم الافتراضية مثل الشركة، والعملة، والسنة المالية الحالية، وما إلى ذلك."
"Payment Type","نوع الدفع"
"Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement","الرجاء تحديد دفعة للصنف {0}. تعذر العثور على دفعة واحدة تستوفي هذا المطلب"
"No gain or loss in the exchange rate","لا مكسب أو خسارة في سعر الصرف"
"Select Employees","حدد الموظفين"
"Sales Invoice Series","سلسلة فاتورة المبيعات"
"To Date","حتى الان"
"Potential Sales Deal","المبيعات المحتملة صفقة"
"Complaints","شكاوي"
"Employee Tax Exemption Declaration","إعلان الإعفاء من ضريبة الموظف"
"Cheque/Reference Date","تاريخ الصك / السند المرجع"
"No Items with Bill of Materials.","لا توجد عناصر مع جدول المواد."
"Customize Homepage Sections","تخصيص أقسام الصفحة الرئيسية"
"Total Taxes and Charges","مجموع الضرائب والرسوم"
"Company Bank Account","حساب بنك الشركة"
"Emergency Contact","الاتصال في حالات الطوارئ"
"Payment Entry","سند صرف / قبض"
"sales-browser","تصفح-المبيعات"
"Ledger","حساب الاستاد"
"Drug Code","رقم الدواء"
"Target  Amount","المبلغ المستهدف"
"Quiz {0} does not exist","المسابقة {0} غير موجودة"
"Print Format for Online","تنسيق الطباعة ل أونلين"
"Shopping Cart Settings","إعدادات سلة التسوق"
"Accounting Entries","القيود المحاسبة"
"Job Card Time Log","سجل وقت بطاقة العمل"
"إذا تم تحديد قاعدة التسعير &#39","للسعر&#39"
"Please setup Instructor Naming System in Education &gt","Education Settings"
"Paid Loan","قرض مدفوع"
"Duplicate Entry. Please check Authorization Rule {0}","إدخال مكرر. يرجى التحقق من قاعدة التخويل {0}"
"Reference Due Date","تاريخ الاستحقاق المرجعي"
"Ref SQ","المرجع SQ"
"Resolution By","القرار بواسطة"
"Applicable After (Working Days)","قابل للتطبيق بعد (أيام العمل)"
"Receipt document must be submitted","يجب تقديم وثيقة استلام"
"Received Qty","الكمية المستلمة"
"Serial No / Batch","رقم المسلسل / الدفعة"
"Not Paid and Not Delivered","لم يتم الدفع ولم يتم التسليم"
"Parent Item","الصنف الاصلي"
"Account Type","نوع الحساب"
"Webhooks Details","تفاصيل Webhooks"
"No time sheets","لا يوجد سجل التوقيت"
"GoCardless Customer","عميل GoCardless"
"Leave Type {0} cannot be carry-forwarded","نوع الإجازة {0} لا يمكن ان ترحل الي العام التالي"
"Item Code &gt","كود الصنف &gt"
"Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule'","لم يتم إنشاء جدول الصيانة لجميع الاصناف. يرجى النقر على ""إنشاء الجدول الزمني"""
"To Produce","لإنتاج"
"Payroll","كشف الرواتب"
"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included","للصف {0} في {1}. لتضمين {2} في سعر الصنف, يجب تضمين الصفوف {3} أيضاً"
"Parent Service Unit","وحدة خدمة الوالدين"
"Identification of the package for the delivery (for print)","تحديد حزمة لتسليم (للطباعة)"
"Service Level Agreement was reset.","تمت إعادة ضبط اتفاقية مستوى الخدمة."
"Reserved Quantity","الكمية المحجوزة"
"Please enter valid email address","الرجاء إدخال عنوان بريد إلكتروني صالح"
"Volunteer Skill","المتطوعين المهارة"
"Include POS Transactions","تضمين معاملات POS"
"Corrective/Preventive","التصحيحية / الوقائية"
"Inter Company Invoice Reference","الشركة المشتركة للفاتورة"
"Please select an item in the cart","الرجاء تحديد صنف في العربة"
"Purchase Receipt Items","شراء قطع الإيصال"
"Please set Tax ID for the customer '%s'","يرجى تعيين معرف الضريبة للعميل &#39"
"Arrear","متأخر"
"Depreciation Amount during the period","قيمة الإهلاك خلال الفترة"
"Is Return (Credit Note)","مرتجع (إشعار دائن)"
"Start Job","بدء العمل"
"Serial no is required for the asset {0}","الرقم التسلسلي مطلوب للموجود {0}"
"Allocate Leaves","تخصيص الإجازات"
"Disabled template must not be default template","يجب ألا يكون النموذج المعطل هو النموذج الافتراضي"
"Price or Product Discount","السعر أو خصم المنتج"
"For row {0}: Enter planned qty","بالنسبة إلى الصف {0}: أدخل الكمية المخطط لها"
"Income Account","حساب الدخل"
"Amount in customer's currency","المبلغ بعملة العميل"
"Delivery","تسليم"
"Assigning Structures...","هيكلية التخصيص..."
"Current Qty","الكمية الحالية"
"قائمة المطاعم","Restaurant Menu"
"Add Suppliers","إضافة الموردين"
"Help Section","قسم المساعدة"
"Prev","السابق"
"Key Responsibility Area","وصف معيار التقييم"
"Distance UOM","المسافة UOM"
"Student Batches help you track attendance, assessments and fees for students","دفعات طالب تساعدك على تتبع الحضور، وتقييمات والرسوم للطلاب"
"Total Allocated Amount","إجمالي المبلغ المخصص"
"Set default inventory account for perpetual inventory","تعيين حساب المخزون الافتراضي للمخزون الدائم"
"Cannot deliver Serial No {0} of item {1} as it is reserved to \
												fullfill Sales Order {2}","لا يمكن تسليم Serial No {0} من الصنف {1} لأنه محجوز لـ \ fullfill Sales Order {2}"
"Material Request Type","نوع طلب المواد"
"Send Grant Review Email","إرسال بريد إلكتروني منح مراجعة"
